Title,Time,Artist,Album,Genre,Plays
Billo Tu Agg (feat. Yo Yo Honey Singh),3:41,Singhsta,Billo Tu Agg (feat. Yo Yo Honey Singh) - Single,Indian Pop,
"Bills, Bills, Bills",4:15,Destiny's Child,"Bills, Bills, Bills - EP",R&B/Soul,
Bin Tere,2:44,Abhijay Sharma & Karun,Bin Tere - Single,Indie Pop,
Bin Tere,5:30,"Shafqat Amanat Ali, Vishal & Shekhar & Sunidhi Chauhan",I Hate Luv Storys (Original Motion Picture Soundtrack),Bollywood,1
Bindis and Bangles,3:19,Raja Kumari,Bindis and Bangles - Single,Hip-Hop/Rap,
Binte Dil,3:13,Arijit Singh,Padmaavat (Original Motion Picture Soundtrack),Bollywood,3
Black Hole,3:21,Griff,Black Hole - Single,Pop,1
Black or White,4:16,Michael Jackson,Dangerous,Pop,
Black Widow (feat. Rita Ora),3:29,Iggy Azalea,The New Classic (Deluxe Version),Hip-Hop/Rap,26
Blank Space,3:52,Taylor Swift,1989 (Deluxe),Pop,19
BLANKO,3:38,King,BLANKO - Single,Indian,
Blinding Lights,3:22,The Weeknd,Blinding Lights - Single,R&B/Soul,17
Blood Sweat & Tears,3:37,BTS,Wings,K-Pop,10
Bloom Later,2:40,Jesse,&,Pop,1
Blue Eyes,3:41,Yo Yo Honey Singh,Blue Eyes - Single,Indian Pop,14
Blue Song,3:25,Mint Royale,"Baby Driver, Vol. 2: The Score for a Score",Soundtrack,
Body,2:51,Megan Thee Stallion,Good News,Hip-Hop/Rap,1
Bol Do Na Zara,4:53,Armaan Malik,Azhar (Original Motion Picture Soundtrack),Bollywood,10
Bol Na Halke Halke,5:07,Mahalakshmi Iyer & Rahat Fateh Ali Khan,Jhoom Barabar Jhoom (Original Motion Picture Soundtrack),Bollywood,
Bolna,3:33,"Tanishk Bagchi, Arijit Singh & Asees Kaur",Kapoor & Sons (Since 1921) [Original Motion Picture Soundtrack] - EP,Bollywood,4
"Bolna (From ""Kapoor & Sons (Since 1921)"")",3:33,"Tanishk Bagchi, Arijit Singh & Asees Kaur",Your's Truly Arijit,Bollywood,5
"Bolna (From ""Kapoor & Sons (Since 1921)"")",3:33,"Tanishk Bagchi, Arijit Singh & Asees Kaur","Yours Truly Arijit, Vol. 2",Bollywood,1
Bolo Ta Ra Ra,5:13,Daler Mehndi,Bolo Ta Ra Ra,Worldwide,2
Bom Diggy,3:28,Zack Knight & Jasmin Walia,Bom Diggy - Single,Indian Pop,46
Bom Diggy Diggy,3:59,Zack Knight & Jasmin Walia,Sonu Ke Titu Ki Sweety (Original Motion Picture Soundtrack),Bollywood,73
Bongolia,2:15,Incredible Bongo Band,Bongo Rock,Funk,
Boombastic,4:07,Shaggy,The Boombastic Collection - Best of Shaggy,Reggae,7
Booty Wurk (One Cheek At a Time) [feat. Joey Galaxy],3:55,T-Pain,T-Pain Presents Happy Hour: The Greatest Hits,Hip-Hop/Rap,11
Born to Shine,3:33,Diljit Dosanjh,G.O.A.T.,Indian Pop,1
Boss,4:48,Meet Bros Anjjan & Yo Yo Honey Singh,Boss (Original Motion Picture Soundtrack),Bollywood,2
The Box,3:17,Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,8
